method,top_n,median_ess
cubed,1,1.0005806674876758
cubed,2,1.0925802610453483
cubed,3,1.3015875311126588
cubed,4,1.5459654961185136
cubed,5,1.948277856172882
cubed,6,2.1578221553035557
cubed,7,2.3529839591766497
cubed,8,2.673113833414116
cubed,9,3.0160627081691977
cubed,10,3.310587639626871
cubed,11,3.5445504366363876
cubed,12,3.8216962528950624
cubed,13,4.064899418177702
cubed,14,4.384178795279325
cubed,15,4.634768674938993
cubed,16,4.9241679621300225
cubed,17,5.123243228405825
cubed,18,5.46665707922715
cubed,19,5.724560222333979
cubed,20,5.976197867996106
linear,1,1.000580667487676
linear,2,1.0893973779286976
linear,3,1.2985135524749205
linear,4,1.5432907215665614
linear,5,1.9595342268946974
linear,6,2.1515433292855493
linear,7,2.351837140441783
linear,8,2.6815369795262143
linear,9,3.024727844308375
linear,10,3.3020036093884713
linear,11,3.5316767507586158
linear,12,3.809879296637421
linear,13,4.074373909353705
linear,14,4.411597167657089
linear,15,4.658781483204477
linear,16,4.981951572897518
linear,17,5.215519588357733
linear,18,5.543301309943995
linear,19,5.748654238558081
linear,20,6.073899551454064
squared,1,1.000580667487676
squared,2,1.0904415086255093
squared,3,1.3008582237011366
squared,4,1.5415358493339502
squared,5,1.9476827839941888
squared,6,2.155065994317312
squared,7,2.353147321977672
squared,8,2.6618598066614956
squared,9,3.02606338028934
squared,10,3.299719273867674
squared,11,3.542626888569165
squared,12,3.803809095471164
squared,13,4.075519199298522
squared,14,4.385726404274633
squared,15,4.65788299328344
squared,16,4.963344754953758
squared,17,5.165943840184138
squared,18,5.506100248579864
squared,19,5.731786620058838
squared,20,6.045656890069212
