comparable_rank,mean,median,p25,p75,minimum,maximum,n
1,70.54247279516302,71.03972767708026,67.4539170570882,74.67880419777877,33.79809631786834,84.53623638987548,834
2,68.62348756296642,69.38339127437425,65.83659026420446,72.21191601918173,32.653165350757455,83.6413551611436,834
3,67.45311675630485,68.14419823408481,64.80897546222431,70.8962821010197,31.229385203930928,81.47509016024443,834
4,66.63554370533966,67.41204948535412,63.9440326971536,70.1971100993778,30.260083679602666,81.34348691378591,834
5,65.94001152733986,66.73710325880998,63.09012436576707,69.4536698188277,27.8101477946747,80.21723627459366,834
6,65.37567720564627,66.14305980465122,62.64698022363575,68.9734165900687,26.90936773577075,79.61405996104658,834
7,64.89173757043737,65.68909695507239,62.1537961642199,68.51816943222661,26.45033447020815,78.86361204861342,834
8,64.47974002866367,65.30266526076386,61.8223630308745,68.09597613630312,26.346863765999093,78.73904995306873,834
9,64.07627603154283,64.85230374507329,61.39814494251484,67.65802684615404,26.07171964706328,78.72060552144413,834
10,63.71919223081984,64.48330935706554,61.048198094275826,67.42952271118529,25.958251311785073,78.17272563572543,834
11,63.406295969276485,64.1267546570343,60.66446783933527,67.10722565799986,25.939420776207847,78.14425324918616,834
12,63.1233627671919,63.94053334273882,60.395691895931606,66.8910600369431,25.69109776374184,77.82592183248964,834
13,62.84181922057921,63.55633209424971,60.20136381347446,66.53053871130285,24.85485267590064,77.36545736300519,834
14,62.57740056721182,63.32114085529395,59.8270471069169,66.31495484735493,24.371423663897,76.70073253138068,834
15,62.33053602642524,63.075743832860915,59.60494331986011,66.07436917970716,23.696315559233437,76.49323640699734,834
16,62.09732450956354,62.803112946505884,59.42741334880157,65.83208747906693,23.583361306465047,75.23730276762288,834
17,61.86937598679831,62.61970899947161,59.1481803099378,65.51369719874945,23.43103421862744,74.38934172124632,834
18,61.6530366318146,62.40905069985335,58.9491930097287,65.37985448365231,23.343371070142105,74.36625512730458,834
19,61.451636570975516,62.137488574209144,58.77579392538651,65.16620488701021,23.102102622512316,74.29784159552631,834
20,61.24468840659082,62.01641344353975,58.6236063937059,64.99549366588431,22.97868030776678,73.94149446448361,834
