method,top_n,median,p75,p90
cubed,1,1.1099999999999999,2.42,3.77
cubed,2,0.9199999999999999,2.0300000000000002,3.1690000000000023
cubed,3,0.7799999999999999,1.8299999999999996,2.8710000000000013
cubed,4,0.6600000000000001,1.6799999999999997,2.696
cubed,5,0.5499999999999999,1.4749999999999996,2.5460000000000003
cubed,6,0.47999999999999954,1.4399999999999995,2.386
cubed,7,0.3599999999999999,1.2999999999999998,2.2479999999999998
cubed,8,0.2849999999999999,1.19,2.0930000000000004
cubed,9,0.2300000000000001,1.0100000000000002,2.0160000000000013
cubed,10,0.16000000000000003,0.9299999999999997,1.9120000000000001
cubed,11,0.12000000000000005,0.8125,1.7569999999999997
cubed,12,0.050000000000000044,0.6900000000000002,1.54
cubed,13,0.020000000000000018,0.6299999999999999,1.4860000000000015
cubed,14,0.0,0.4799999999999993,1.31
cubed,15,0.0,0.3400000000000003,1.1310000000000018
cubed,16,0.0,0.23999999999999932,0.9270000000000003
cubed,17,0.0,0.13999999999999968,0.8070000000000005
cubed,18,0.0,0.0,0.5299999999999997
cubed,19,0.0,0.0,0.21700000000000047
cubed,20,0.0,0.0,0.0
linear,1,1.1350000000000002,2.42,3.7930000000000006
linear,2,0.9299999999999997,2.0624999999999996,3.2210000000000045
linear,3,0.8249999999999997,1.8425,2.9480000000000017
linear,4,0.71,1.7199999999999989,2.69
linear,5,0.5999999999999996,1.545,2.580000000000001
linear,6,0.4900000000000002,1.4499999999999997,2.41
linear,7,0.41000000000000014,1.34,2.3099999999999996
linear,8,0.3600000000000003,1.29,2.2050000000000045
linear,9,0.2699999999999999,1.1099999999999994,2.1440000000000015
linear,10,0.23000000000000043,0.96,2.044000000000001
linear,11,0.1499999999999999,0.8700000000000001,1.9189999999999996
linear,12,0.09499999999999997,0.7525,1.6789999999999996
linear,13,0.050000000000000044,0.6800000000000002,1.548000000000001
linear,14,0.0,0.5050000000000002,1.3470000000000006
linear,15,0.0,0.4074999999999999,1.1999999999999997
linear,16,0.0,0.29000000000000015,0.9599999999999999
linear,17,0.0,0.1499999999999999,0.8670000000000007
linear,18,0.0,0.020000000000000018,0.6270000000000007
linear,19,0.0,0.0,0.25000000000000033
linear,20,0.0,0.0,0.0
squared,1,1.12,2.4574999999999996,3.7930000000000006
squared,2,0.9199999999999999,2.0525,3.2210000000000045
squared,3,0.805,1.8325,2.9080000000000026
squared,4,0.6799999999999997,1.72,2.69
squared,5,0.5700000000000003,1.5350000000000001,2.55
squared,6,0.48,1.4400000000000013,2.41
squared,7,0.39999999999999947,1.3199999999999994,2.2799999999999985
squared,8,0.33999999999999997,1.2025000000000001,2.1630000000000007
squared,9,0.2400000000000002,1.06,2.052000000000001
squared,10,0.18999999999999995,0.9599999999999995,1.92
squared,11,0.13999999999999985,0.8224999999999999,1.8459999999999988
squared,12,0.06000000000000005,0.73,1.6669999999999994
squared,13,0.030000000000000027,0.6600000000000001,1.5280000000000007
squared,14,0.0,0.48,1.3370000000000004
squared,15,0.0,0.3700000000000001,1.19
squared,16,0.0,0.24000000000000019,0.9599999999999995
squared,17,0.0,0.12000000000000008,0.7640000000000009
squared,18,0.0,0.0,0.5710000000000018
squared,19,0.0,0.0,0.2370000000000001
squared,20,0.0,0.0,0.0
