half_life_months,n,mae,rmse,bias,mean_ess,median_ess
1,1808,2.314357025939377,2.971275079717314,0.0410757561643322,22.546988211046493,17.31757521695275
2,1808,2.3016017073226553,2.9344720724714666,0.0102408801750847,34.49057078614081,28.632724784023466
3,1808,2.296389797265146,2.9207277133398426,0.021416028995853896,49.05223473163313,38.471481017627816
4,1808,2.2945564088781456,2.9135694527430487,0.038809437406948956,65.07266648074494,49.918016508832636
5,1808,2.294926576561088,2.9093381177446878,0.05690825831755424,81.13666289350152,60.880153049602875
6,1808,2.2959636711897526,2.9067485514030706,0.07464996884340058,96.53900008052082,73.68868187929922
7,1808,2.2973959799234382,2.905186611869306,0.09175886608842297,111.027563084655,85.75100845932816
8,1808,2.299308440547756,2.9043150557587576,0.10815057130691186,124.55071492549692,97.22456270813028
9,1808,2.3014331755054216,2.9039284579724662,0.12380324727207793,137.1340428329793,109.08988497061935
12,1808,2.308151028463045,2.9045164007340145,0.16642754360121148,169.80184859519667,141.3712713499967
18,1808,2.3209097233945855,2.9088140055836997,0.23455477223390506,217.30754455144046,170.67398892263682
24,1808,2.3316193839138952,2.9137898685162007,0.28516589232023004,248.7542359333833,209.23179940610612
36,1808,2.346671861914116,2.9222624380819964,0.3533643463031091,285.2216556540034,252.98443173274427
60,1808,2.363457750758496,2.9331524576483208,0.42562536373040616,314.86734625415846,289.59450959407667
